NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
200002714338;2020;13;F;2;1;1;1;14;1;;0;;;;;;;;2611606;Recife;26;PE;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;H;E;F;D;3.0;E;A;B;C;B;A;B;A;B;A;A;A;A;C;A;B;D;A;A;B
200005752007;2020;8;F;1;1;1;1;6;1;;0;;;;;;;;3304557;Rio de Janeiro;33;RJ;0;1;1;0;;570.0;579.0;;;481.8;539.7;;;EBBEECACBAEDCBEEEDEECBABADAABDCC.DECBCEBDCEDE;99999EDBDDDBACEDADBADEBCBDEAADDBEEADACADAABEAEABCA;;1;;BDDBECECBACDBDEEBDEDDAECDDCCADECBCCCBBEDABCDE;AACDEEEECADBBCAAADBADEABEBAAADEBADADAEBDACAACBBECE;;1.0;100.0;120.0;100.0;80.0;40.0;440.0;H;E;B;B;2.0;A;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A
200006657216;2020;1;F;1;1;1;3;0;1;;1;;;;;;;;3509502;Campinas;35;SP;1;1;1;1;597.0;569.0;580.0;587.0;605.8;602.8;563.7;640.0;CDCAEBDDEACECECBBCADDDDBBAACECBCADBBCEBEEDABD;DECEBBDEBECBCAAADCBAEDBAEEDAACDDAEBAEAECEDCBA;CCDAA99999DECBBEAEDABACBEDAAACDBAABCCEEBDDBDCDCDDA;DAACEAEC*DEDEABCDCDBCBDECCABEABCACBDDECCBBAAC;0;DDBACBDDDECDAEDCCCEDBDDCBDDCAAECEDDACCBAEDCDX;DECCADEBDECBBECDDCBACDBDEEDABCDDAEDBECECBCCBD;DCEAAEEEACAACBBEBEBAAADBBAEBCEDBAADADDEADEBDACCAAA;DABCCAEDBBCCCABCACCBDXCCCBEEEDBBACCDACBAEBAEC;1.0;160.0;140.0;160.0;160.0;180.0;800.0;F;E;D;D;5.0;G;A;E;E;B;A;B;B;B;A;B;A;B;D;A;B;D;A;D;B
200006360725;2020;4;F;1;1;1;1;1;1;;0;;;;;;;;1100205;Porto Velho;11;RO;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;E;G;D;B;3.0;B;A;B;C;B;A;B;B;B;A;A;A;A;B;B;A;C;A;B;B
200005781031;2020;4;M;1;1;1;1;1;1;;0;;;;;;;;4320107;Sarandi;43;RS;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;E;B;F;C;4.0;C;A;B;D;A;A;B;A;B;B;B;A;A;B;A;A;C;A;B;B
200001573501;2020;3;F;1;1;1;1;1;1;;0;;;;;;;;1505064;Novo Repartimento;15;PA;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;E;E;D;D;5.0;E;A;C;D;B;A;B;A;B;A;B;A;A;B;A;A;D;A;A;B
200003744287;2020;2;F;1;1;2;2;0;3;1.0;0;3304805.0;São Fidélis;33.0;RJ;4.0;1.0;1.0;3304805;São Fidélis;33;RJ;1;1;1;1;600.0;570.0;579.0;589.0;590.9;544.0;552.8;444.3;DCCCCDBDEEADCBACAAACCCADBEDDBEEEBCABBCCABBBED;BDDEDCECBDBDBEAADCCDDAABDBEEBEEBBEBAABABCEAAE;99999AEEDADBCCDBADACDABADBBAADEBDDDEEEBDACDDCCAAAB;BDBCACCCCBDADDCBAEAAAADCCCABDDCCBBADDCCBBEDDB;1;DCDXDCCAEBADCBAAEACCBCEDDCBDDDAEDDCDECCEDBDDD;BDDBECECBACDBDEEBDEDDAECDDCCADECBCCCBBEDABCDE;AACDEEEECADBBCAAADBADEABEBAAADEBADADAEBDACAACBBECE;BAECDBBXCCCBDBACCDBEEEBCCAABCCACEACCEDBCABCDA;1.0;160.0;200.0;160.0;200.0;200.0;920.0;H;H;F;F;6.0;H;A;D;D;D;A;B;C;B;A;B;A;A;B;B;B;D;B;C;B
200005652523;2020;2;M;1;1;1;2;0;2;1.0;0;5218003.0;Porangatu;52.0;GO;2.0;1.0;1.0;5218003;Porangatu;52;GO;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;B;E;F;B;3.0;E;A;C;C;B;A;B;A;B;A;A;A;A;A;A;A;A;A;B;B
200001369631;2020;7;F;1;1;1;1;5;1;;0;;;;;;;;4313409;Novo Hamburgo;43;RS;1;1;1;1;599.0;568.0;578.0;590.0;426.9;457.7;520.2;473.9;DCBCCADEDAABCBEEDBBBDDBEADACCCECDABDACEDBCAEB;DBDECCABDDDACCEABDCCBAECDDCCDAEDACCCDBBCDDBCE;99999DAEEBDEBAECDBCEABBECDADABBCADBCCAAEACDCDDEABB;BDAAECCBCEBDAEBEDABEAAECDEBCBCDBDDECACABAECDB;1;CBDDDDCAAECEDDCEDBDDAEDECAEDCCDDDCBDCDXBAACCB;BDECBCCDEDDAEBDCDDCBBEDABCCBACDBDEECCADEDBECE;CDEAACAEEEBEBADADAAAAACBAEBDEADACDBBDBACECAAADEBBE;CABCAACCACDABEEEBAECXCCCEEDBACCDBCCABBCCBDDBB;1.0;160.0;200.0;180.0;200.0;200.0;940.0;E;D;C;B;3.0;E;A;B;C;B;B;B;B;B;A;A;A;A;B;A;A;B;B;B;B
200004929986;2020;16;F;3;1;1;1;14;1;;0;;;;;;;;5003702;Dourados;50;MS;1;1;1;1;598.0;567.0;577.0;588.0;453.8;474.4;509.7;401.0;CAEEABEAECEDEAEBACCEDCBBBDEDBAEBCAADCDAEADBCB;ACCABDEAAADADDECAABECAACBCACACBDEBAABADCBDDBD;99999ABEBDABDCCEAEDBCEECDAADCACDEAACCADAEAACBBDDAC;BEADBAAADDAABBDDCEACADDBEBDDCAAEDADBBDABADCEA;1;CEDBDDDCACCBDAEBADCBDCDXAAECEDDDECDDCBDDAEDCC;DABCBDDDAEDBECECBBEDEBDEECBCCCBACDCCADEBDECDD;AAEDCACEEECEAACBAEBBEDACDBAADADDEBBEBAAADEACAAADBB;AEBCCXCCCACCDABCCABCABCBAECEDBBDBEEEDBBACCDAC;1.0;140.0;120.0;120.0;140.0;100.0;620.0;H;B;B;B;1.0;B;A;B;B;A;A;B;A;B;A;B;A;A;B;A;A;B;A;B;B
